51,42,1
45,36,1
45,35,1
45,34,1
45,32,1
48,39,1
50,40,1
48,35,1
50,31,1
43,34,1
42,32,1
41,26,0
45,29,0
38,26,0
34,31,0
34,28,0
35,29,0
33,28,0
34,27,0
36,29,0
48,32,0
47,44,1
47,43,0
45,34,1
46,30,0
45,32,0
53,33,0
53,25,0
42,34,1
47,30,1
35,27,1
39,30,1
43,26,0
38,26,1
39,31,1
36,26,0
43,20,0
43,27,1
44,35,1
45,32,0
39,27,0
46,23,0
43,26,0
47,35,0
46,39,1
45,37,1
52,37,1
57,46,1
49,32,1
45,30,0
45,35,1
49,37,1
47,38,1
47,36,0
44,36,1
47,41,1
49,37,1
47,35,0
50,32,0
46,34,0
47,32,1
50,31,0
52,28,0
57,31,0
47,40,0
47,41,1
42,34,1
42,33,1
47,33,0
51,31,0
51,31,1
60,37,1
54,35,1
52,34,0
52,36,0
50,33,0
50,36,1
48,35,1
47,33,0
44,33,1
46,37,1
44,30,1
54,31,0
54,36,1
50,35,1
56,36,0
70,38,0
64,39,0
49,39,0
54,38,0
53,40,0
46,37,1
45,33,1
47,32,1
49,31,1
51,32,1
44,34,1
55,30,0
59,32,1
50,39,1
53,38,1
51,38,0
50,39,1
59,39,1
63,42,0
65,47,1
62,43,0
54,44,1
58,41,0
61,37,0
66,39,0
55,44,1
57,43,1
55,42,1
46,40,1
49,34,1
50,32,0
53,31,0
45,38,1
54,33,0
56,35,1
58,38,1
57,35,1
53,42,1
57,42,0
55,45,1
58,42,1
59,40,0
54,42,1
52,41,0
57,43,1
63,44,0
56,42,1
55,43,1
58,43,1
64,43,0
60,47,1
62,43,0
60,45,1
60,40,1
73,44,0
62,47,0
65,48,0
66,50,0
80,51,0
73,51,0
69,48,0
60,50,1
53,48,1
58,48,1
69,44,0
77,46,0
71,46,0
76,49,0
67,52,1
70,49,0
75,48,0
82,53,0
87,59,0
87,60,0
81,57,0
76,55,0
60,53,1
68,50,1
68,51,1
72,50,0
71,50,0
60,52,1
66,51,1
71,50,0
68,52,0
60,52,1
63,50,1
62,49,0
70,47,0
64,50,0
64,48,0
74,50,0
79,52,0
82,57,0
83,56,0
74,53,0
69,45,0
70,44,0
77,47,0
66,49,1
67,50,1
71,51,1
66,51,1
71,48,0
78,51,0
73,55,0
71,54,0
72,50,0
76,50,0
77,51,0
82,51,0
80,55,0
82,55,0
61,54,1
64,55,1
67,54,0
74,55,0
71,53,0
71,53,1
72,49,0
79,48,0
80,52,1
67,51,0
71,53,0
74,51,0
80,57,0
88,57,0
75,54,0
68,55,0
68,55,1
64,50,0
63,49,1
70,51,0
70,48,0
75,51,0
71,55,0
69,54,0
64,53,0
74,56,0
65,53,1
68,49,0
68,53,1
70,54,1
74,55,1
73,55,0
68,52,0
64,52,1
65,55,1
70,54,1
69,50,1
62,53,1
72,55,0
72,52,1
61,53,1
80,55,0
75,57,1
70,54,1
73,51,0
74,50,0
69,52,1
70,51,1
68,50,0
70,45,0
70,45,0
73,50,0
78,56,0
81,57,0
81,55,0
76,54,0
75,52,0
76,52,0
67,50,1
64,49,1
63,45,0
68,45,0
70,41,0
70,47,0
69,52,0
61,49,1
51,43,1
54,40,1
58,38,0
59,37,0
49,44,1
69,44,1
59,42,1
57,39,0
